monitor,native_id,period_start,period_midpoint,period_end,concentration,count
,CE,1998-12-27,1999-01-03,1999-01-10,15.4625,16
,CE,1999-01-10,1999-01-17,1999-01-24,9.025,16
,CE,1999-01-24,1999-01-31,1999-02-07,10.564705882352943,17
,CE,1999-02-07,1999-02-14,1999-02-21,11.833333333333334,15
,CE,1999-02-21,1999-02-28,1999-03-07,9.531249999999998,16
,CE,1999-03-07,1999-03-14,1999-03-21,12.175000000000002,16
,CE,1999-03-21,1999-03-28,1999-04-04,9.83125,16
,CE,1999-04-04,1999-04-11,1999-04-18,13.256250000000001,16
,CE,1999-04-18,1999-04-25,1999-05-02,11.06470588235294,17
,CE,1999-05-02,1999-05-09,1999-05-16,9.10625,16
,CE,1999-05-16,1999-05-23,1999-05-30,10.2875,16
,CE,1999-05-30,1999-06-06,1999-06-13,8.688235294117646,17
,CE,1999-06-13,1999-06-20,1999-06-27,9.718750000000002,16
,CE,1999-06-27,1999-07-04,1999-07-11,10.662500000000001,16
,CE,1999-07-11,1999-07-18,1999-07-25,10.841176470588238,17
,CE,1999-07-25,1999-08-01,1999-08-08,12.2625,16
,CE,1999-08-08,1999-08-15,1999-08-22,9.593333333333332,15
,CE,1999-08-22,1999-08-29,1999-09-05,11.981250000000001,16
,CE,1999-09-05,1999-09-12,1999-09-19,13.500000000000002,16
,CE,1999-09-19,1999-09-26,1999-10-03,12.31333333333333,15
,CE,1999-10-03,1999-10-10,1999-10-17,13.083333333333334,12
,CE,1999-10-17,1999-10-24,1999-10-31,18.53125,16
,CE,1999-10-31,1999-11-07,1999-11-14,14.458823529411765,17
,CE,1999-11-14,1999-11-21,1999-11-28,11.4125,16
,CE,1999-11-28,1999-12-05,1999-12-12,11.656249999999996,16
,CE,1999-12-12,1999-12-19,1999-12-26,12.006250000000001,16
,CE,1999-12-26,2000-01-02,2000-01-09,12.946666666666667,15
,CE,2000-01-09,2000-01-16,2000-01-23,11.60625,16
,CE,2000-01-23,2000-01-30,2000-02-06,14.975,16
,CE,2000-02-06,2000-02-13,2000-02-20,16.629411764705885,17
,CE,2000-02-20,2000-02-27,2000-03-05,11.49375,16
,CE,2000-03-05,2000-03-12,2000-03-19,14.381250000000001,16
,CE,2000-03-19,2000-03-26,2000-04-02,13.10588235294118,17
,CE,2000-04-02,2000-04-09,2000-04-16,15.28125,16
,CE,2000-04-16,2000-04-23,2000-04-30,11.24375,16
,CE,2000-04-30,2000-05-07,2000-05-14,9.641176470588237,17
,CE,2000-05-14,2000-05-21,2000-05-28,11.200000000000001,16
,CE,2000-05-28,2000-06-04,2000-06-11,11.15,16
,CE,2000-06-11,2000-06-18,2000-06-25,9.247058823529409,17
,CE,2000-06-25,2000-07-02,2000-07-09,12.240000000000002,15
,CE,2000-07-23,2000-07-30,2000-08-06,10.911764705882353,17
,CE,2000-08-06,2000-08-13,2000-08-20,10.537500000000003,16
,CE,2000-08-20,2000-08-27,2000-09-03,9.284615384615385,13
,CE,2000-09-03,2000-09-10,2000-09-17,10.900000000000002,17
,CE,2000-09-17,2000-09-24,2000-10-01,14.831249999999999,16
,CE,2000-10-01,2000-10-08,2000-10-15,14.231250000000005,16
,CE,2000-10-15,2000-10-22,2000-10-29,17.58823529411765,17
,CE,2000-10-29,2000-11-05,2000-11-12,18.0875,16
,CE,2000-11-26,2000-12-03,2000-12-10,16.311764705882354,17
,CE,2000-12-10,2000-12-17,2000-12-24,14.64117647058824,17
,CE,2000-12-24,2000-12-31,2001-01-07,17.40625,16
,CE,2001-01-07,2001-01-14,2001-01-21,16.91764705882353,17
,CE,2001-01-21,2001-01-28,2001-02-04,15.787500000000001,16
,CE,2001-02-04,2001-02-11,2001-02-18,14.15625,16
,CE,2001-02-18,2001-02-25,2001-03-04,16.641176470588235,17
,CE,2001-03-04,2001-03-11,2001-03-18,13.387500000000005,16
,CE,2001-03-18,2001-03-25,2001-04-01,10.8625,16
,CE,2001-04-01,2001-04-08,2001-04-15,8.535294117647057,17
,CE,2001-04-15,2001-04-22,2001-04-29,11.206250000000002,16
,CE,2001-04-29,2001-05-06,2001-05-13,10.575000000000001,16
,CE,2001-05-13,2001-05-20,2001-05-27,10.676470588235293,17
,CE,2001-05-27,2001-06-03,2001-06-10,8.843749999999998,16
,CE,2001-06-10,2001-06-17,2001-06-24,8.6375,16
,CE,2001-06-24,2001-07-01,2001-07-08,9.741176470588236,17
,CE,2001-07-08,2001-07-15,2001-07-22,9.51875,16
,CE,2001-07-22,2001-07-29,2001-08-05,8.825,16
,CE,2001-08-05,2001-08-12,2001-08-19,11.970588235294118,17
,CE,2001-08-19,2001-08-26,2001-09-02,9.925,16
,CE,2001-09-02,2001-09-09,2001-09-16,11.556250000000002,16
,CE,2001-09-16,2001-09-23,2001-09-30,11.541176470588237,17
,CE,2001-09-30,2001-10-07,2001-10-14,10.71875,16
,CE,2001-10-14,2001-10-21,2001-10-28,11.887500000000001,16
,CE,2001-10-28,2001-11-04,2001-11-11,21.82352941176471,17
,CE,2001-11-11,2001-11-18,2001-11-25,12.825,16
,CE,2001-11-25,2001-12-02,2001-12-09,10.3,16
,CE,2001-12-09,2001-12-16,2001-12-23,10.352941176470589,17
,CE,2001-12-23,2001-12-30,2002-01-06,16.97727272727273,22
,CE,2002-01-06,2002-01-13,2002-01-20,12.828124999999998,32
,CE,2002-01-20,2002-01-27,2002-02-03,8.602941176470589,34
,CE,2002-02-03,2002-02-10,2002-02-17,13.686666666666666,30
,CE,2002-02-17,2002-02-24,2002-03-03,12.374999999999998,32
,CE,2002-03-03,2002-03-10,2002-03-17,9.564705882352946,34
,CE,2002-03-17,2002-03-24,2002-03-31,11.693750000000003,32
,CE,2002-03-31,2002-04-07,2002-04-14,9.728571428571428,28
,CE,2002-04-14,2002-04-21,2002-04-28,9.64642857142857,28
,CE,2002-04-28,2002-05-05,2002-05-12,9.250000000000002,32
,CE,2002-05-12,2002-05-19,2002-05-26,8.353125,32
,CE,2002-05-26,2002-06-02,2002-06-09,7.617647058823529,34
,CE,2002-06-09,2002-06-16,2002-06-23,10.13125,32
,CE,2002-06-23,2002-06-30,2002-07-07,7.653125,32
,CE,2002-07-07,2002-07-14,2002-07-21,8.700000000000001,34
,CE,2002-07-21,2002-07-28,2002-08-04,8.915625,32
,CE,2002-08-04,2002-08-11,2002-08-18,10.115625,32
,CE,2002-08-18,2002-08-25,2002-09-01,10.432352941176472,34
,CE,2002-09-01,2002-09-08,2002-09-15,9.8,32
,CE,2002-09-15,2002-09-22,2002-09-29,10.087499999999997,32
,CE,2002-09-29,2002-10-06,2002-10-13,11.023529411764704,34
,CE,2002-10-13,2002-10-20,2002-10-27,20.056250000000002,32
,CE,2002-10-27,2002-11-03,2002-11-10,20.65625,32
,CE,2002-11-10,2002-11-17,2002-11-24,15.917647058823533,34
,CE,2002-11-24,2002-12-01,2002-12-08,21.740624999999998,32
,CE,2002-12-08,2002-12-15,2002-12-22,12.215624999999998,32
,CE,2002-12-22,2002-12-29,2003-01-05,10.38529411764706,34
,CE,2003-01-05,2003-01-12,2003-01-19,21.681249999999995,32
,CE,2003-01-19,2003-01-26,2003-02-02,11.671875000000002,32
,CE,2003-02-02,2003-02-09,2003-02-16,15.158823529411768,34
,CE,2003-02-16,2003-02-23,2003-03-02,12.55625,32
,CE,2003-03-02,2003-03-09,2003-03-16,9.750000000000004,32
,CE,2003-03-16,2003-03-23,2003-03-30,10.130303030303029,33
,CE,2003-03-30,2003-04-06,2003-04-13,8.659375000000002,32
,CE,2003-04-13,2003-04-20,2003-04-27,8.390625,32
,CE,2003-04-27,2003-05-04,2003-05-11,8.241176470588234,34
,CE,2003-05-11,2003-05-18,2003-05-25,8.971875,32
,CE,2003-05-25,2003-06-01,2003-06-08,11.334374999999996,32
,CE,2003-06-08,2003-06-15,2003-06-22,8.379411764705884,34
,CE,2003-06-22,2003-06-29,2003-07-06,8.531250000000002,32
,CE,2003-07-06,2003-07-13,2003-07-20,8.353125,32
,CE,2003-07-20,2003-07-27,2003-08-03,10.858823529411765,34
