monitor,native_id,period_start,period_midpoint,period_end,concentration,count
ACT20,KPRI15,2018-01-14,2018-01-21,2018-01-28,4.68569056749175,12
ACT20,KPRI15,2018-01-28,2018-02-04,2018-02-11,4.40347936119644,13
ACT10,ACTV028,2017-11-19,2017-11-26,2017-12-03,3.755393631190491,14
ACT10,ACTV028,2017-12-03,2017-12-10,2017-12-17,4.791712804413898,14
ACT10,ACTV028,2017-12-17,2017-12-24,2017-12-31,4.2112327315841185,14
ACT10,ACTV028,2017-12-31,2018-01-07,2018-01-14,3.6613176368901157,14
ACT10,ACTV028,2018-01-14,2018-01-21,2018-01-28,3.442416901242859,14
ACT10,ACTV028,2018-01-28,2018-02-04,2018-02-11,3.657571607329497,14
ACT9,ACTV018,2017-08-27,2017-09-03,2017-09-10,9.372275214222089,14
ACT9,ACTV018,2017-09-10,2017-09-17,2017-09-24,6.48061113236934,14
ACT9,ACTV018,2017-09-24,2017-10-01,2017-10-08,5.316340909191416,14
ACT13,KPRI17,2018-01-28,2018-02-04,2018-02-11,5.052148350774391,14
ACT20,ACTV021,2017-11-05,2017-11-12,2017-11-19,4.497379980937462,14
ACT20,ACTV021,2017-11-19,2017-11-26,2017-12-03,4.4561756872192,14
ACT20,ACTV021,2017-12-03,2017-12-10,2017-12-17,7.407532009504497,14
ACT20,ACTV021,2017-12-17,2017-12-24,2017-12-31,6.343537340332241,14
ACT1,PSCA2,2017-04-23,2017-04-30,2017-05-07,3.660812301054651,48
ACT1,PSCA2,2017-05-07,2017-05-14,2017-05-21,4.132332929222288,82
ACT1,PSCA2,2017-05-21,2017-05-28,2017-06-04,5.5985848128943765,70
ACT1,PSCA2,2017-06-04,2017-06-11,2017-06-18,4.296928414554242,58
ACT1,PSCA2,2017-06-18,2017-06-25,2017-07-02,9.556739828872344,14
ACT1,PSCA2,2017-07-02,2017-07-09,2017-07-16,7.321210507940935,14
ACT1,PSCA2,2017-07-16,2017-07-23,2017-07-30,5.820920284762996,14
ACT1,PSCA2,2017-07-30,2017-08-06,2017-08-13,26.870661273756735,14
ACT1,PSCA2,2017-08-13,2017-08-20,2017-08-27,7.204749754598107,14
ACT1,PSCA2,2017-08-27,2017-09-03,2017-09-10,11.321774491679886,14
ACT1,PSCA2,2017-09-10,2017-09-17,2017-09-24,7.806541238535127,14
ACT1,PSCA2,2017-09-24,2017-10-01,2017-10-08,6.6605675466368695,14
ACT1,PSCA2,2017-10-08,2017-10-15,2017-10-22,5.839315597650208,14
ACT1,PSCA2,2017-10-22,2017-10-29,2017-11-05,9.013503099239525,14
ACT1,PSCA2,2017-11-05,2017-11-12,2017-11-19,5.408440722265771,14
ACT1,PSCA2,2017-11-19,2017-11-26,2017-12-03,6.394641048836456,14
ACT1,PSCA2,2017-12-03,2017-12-10,2017-12-17,12.952154137210856,14
ACT1,PSCA2,2017-12-17,2017-12-24,2017-12-31,7.698070301722882,14
ACT1,PSCA2,2017-12-31,2018-01-07,2018-01-14,7.178468829688195,14
ACT1,PSCA2,2018-01-14,2018-01-21,2018-01-28,6.001465700230386,14
ACT1,PSCA2,2018-01-28,2018-02-04,2018-02-11,5.14877444460534,14
ACT3,ACTV023,2017-11-05,2017-11-12,2017-11-19,3.9579498659990384,14
ACT3,ACTV023,2017-11-19,2017-11-26,2017-12-03,4.868283959884283,14
ACT3,ACTV023,2017-12-03,2017-12-10,2017-12-17,6.125771464768791,14
ACT3,ACTV023,2017-12-17,2017-12-24,2017-12-31,4.9889153503322445,14
ACT10,ACTV020,2017-08-27,2017-09-03,2017-09-10,7.4009226929098455,14
ACT10,ACTV020,2017-09-10,2017-09-17,2017-09-24,5.522791945716173,14
ACT10,ACTV020,2017-09-24,2017-10-01,2017-10-08,4.341544624592353,14
ACT10,ACTV020,2017-10-08,2017-10-15,2017-10-22,3.8653918618921024,14
ACT10,ACTV020,2017-10-22,2017-10-29,2017-11-05,7.034426846783307,14
ACT8,KPRI16,2018-01-28,2018-02-04,2018-02-11,3.779223189215424,14
ACT19,ACTV012,2017-07-30,2017-08-06,2017-08-13,22.437408585002412,14
ACT19,ACTV012,2017-08-13,2017-08-20,2017-08-27,6.110870754412447,14
ACT19,ACTV012,2017-08-27,2017-09-03,2017-09-10,9.132682741683254,14
ACT19,ACTV012,2017-09-10,2017-09-17,2017-09-24,7.236239459461268,14
ACT15,ACTV007,2017-07-16,2017-07-23,2017-07-30,3.5801365021185303,14
ACT15,ACTV007,2017-07-30,2017-08-06,2017-08-13,17.87281199266751,14
ACT15,ACTV007,2017-08-13,2017-08-20,2017-08-27,5.218904650300201,14
ACT15,ACTV007,2017-08-27,2017-09-03,2017-09-10,7.7346354609511865,14
ACT15,ACTV007,2017-09-10,2017-09-17,2017-09-24,4.774818252125544,14
ACT8,KPRI4,2017-11-19,2017-11-26,2017-12-03,4.564853485468001,14
ACT8,KPRI4,2017-12-03,2017-12-10,2017-12-17,6.857427548879133,14
ACT8,KPRI4,2017-12-17,2017-12-24,2017-12-31,4.957009817686841,14
ACT8,KPRI4,2017-12-31,2018-01-07,2018-01-14,4.449834968876112,14
ACT8,ACTV005,2017-07-02,2017-07-09,2017-07-16,6.4714040963181585,14
ACT8,ACTV005,2017-07-16,2017-07-23,2017-07-30,5.104849392751085,14
ACT8,ACTV005,2017-07-30,2017-08-06,2017-08-13,21.533571628070515,13
